	AN	gs	E	WUEi	Ymd	Ypd	Kroot	Kplant	DifY	Hojas	Afoliar	BioPoda	BioRaiz	CoBio	TDxil	TDenXil	RDxil	RDenXil	EstDen	EstSize
AN	1	0.873	0.7296	-0.4776	0.6859	0.6645	0.7321	-0.0904	-0.2443	0.4098	-0.2499	0.0856	-0.0194	-0.0117	-0.2653	-3e-04	0.3801	-0.2671	-0.1893	0.6582
gs	0.873	1	0.8914	-0.7496	0.7008	0.7285	0.7738	-0.1027	-0.1816	0.4797	-0.1681	0.1337	0.0443	-0.0217	-0.5018	0.123	0.2121	-0.1048	-0.496	0.74
E	0.7296	0.8914	1	-0.7768	0.6133	0.7065	0.7665	0.0092	-0.0648	0.5271	0.0641	0.3099	0.1729	0.0804	-0.6579	0.2401	0.5108	-0.283	-0.5297	0.7269
WUEi	-0.4776	-0.7496	-0.7768	1	-0.6163	-0.7568	-0.5747	0.0064	9e-04	-0.3957	0.0445	-0.1059	-0.0758	-0.0082	0.5594	-0.2138	-0.0525	-0.018	0.6769	-0.6357
Ymd	0.6859	0.7008	0.6133	-0.6163	1	0.804	0.7784	-0.3408	-0.5816	0.4436	-0.2521	0.5434	0.0997	0.3818	0.0603	-0.3293	0.4899	-0.3025	0.5123	0.1317
Ypd	0.6645	0.7285	0.7065	-0.7568	0.804	1	0.5931	-0.2125	0.0162	0.4557	-0.111	-0.0442	0.2803	-0.333	-0.4205	0.7009	-0.1584	-0.0706	0.4821	0.2205
Kroot	0.7321	0.7738	0.7665	-0.5747	0.7784	0.5931	1	-0.1335	-0.4974	0.4932	-0.0717	0.6624	0.1335	0.4218	-0.4432	-0.1415	0.8249	-0.4681	-0.0796	0.6687
Kplant	-0.0904	-0.1027	0.0092	0.0064	-0.3408	-0.2125	-0.1335	1	0.2823	-0.0347	0.0124	0.0054	-0.0892	0.1185	-0.4768	-0.0136	0.1864	0.2166	-0.6218	0.081
DifY	-0.2443	-0.1816	-0.0648	9e-04	-0.5816	0.0162	-0.4974	0.2823	1	-0.1225	0.2722	-0.5346	-0.051	-0.4249	-0.1239	0.4278	-0.5184	0.274	-0.3648	-0.0674
Hojas	0.4098	0.4797	0.5271	-0.3957	0.4436	0.4557	0.4932	-0.0347	-0.1225	1	0.1601	0.497	0.1234	0.2667	0.7142	-0.1524	-0.5896	0.4987	0.436	-0.6704
Afoliar	-0.2499	-0.1681	0.0641	0.0445	-0.2521	-0.111	-0.0717	0.0124	0.2722	0.1601	1	0.517	0.4438	-0.0725	0.6111	-0.0527	-0.6445	0.5471	0.3807	-0.6669
BioPoda	0.0856	0.1337	0.3099	-0.1059	0.5434	-0.0442	0.6624	0.0054	-0.5346	0.497	0.517	1	0.321	0.4931	0.7789	-0.2008	-0.2637	0.0982	0.7157	-0.589
BioRaiz	-0.0194	0.0443	0.1729	-0.0758	0.0997	0.2803	0.1335	-0.0892	-0.051	0.1234	0.4438	0.321	1	-0.6006	0.3171	0.0855	-0.4315	0.2432	0.4002	-0.0913
CoBio	-0.0117	-0.0217	0.0804	-0.0082	0.3818	-0.333	0.4218	0.1185	-0.4249	0.2667	-0.0725	0.4931	-0.6006	1	0.4925	-0.3482	0.1988	-0.1491	-0.103	-0.2797
TDxil	-0.2653	-0.5018	-0.6579	0.5594	0.0603	-0.4205	-0.4432	-0.4768	-0.1239	0.7142	0.6111	0.7789	0.3171	0.4925	1	-0.4495	-0.6186	0.3555	0.0927	-0.4484
TDenXil	-3e-04	0.123	0.2401	-0.2138	-0.3293	0.7009	-0.1415	-0.0136	0.4278	-0.1524	-0.0527	-0.2008	0.0855	-0.3482	-0.4495	1	0.2959	-0.6951	0.2281	0.223
RDxil	0.3801	0.2121	0.5108	-0.0525	0.4899	-0.1584	0.8249	0.1864	-0.5184	-0.5896	-0.6445	-0.2637	-0.4315	0.1988	-0.6186	0.2959	1	-0.7585	0.013	0.5123
RDenXil	-0.2671	-0.1048	-0.283	-0.018	-0.3025	-0.0706	-0.4681	0.2166	0.274	0.4987	0.5471	0.0982	0.2432	-0.1491	0.3555	-0.6951	-0.7585	1	-0.0968	-0.5728
EstDen	-0.1893	-0.496	-0.5297	0.6769	0.5123	0.4821	-0.0796	-0.6218	-0.3648	0.436	0.3807	0.7157	0.4002	-0.103	0.0927	0.2281	0.013	-0.0968	1	-0.441
EstSize	0.6582	0.74	0.7269	-0.6357	0.1317	0.2205	0.6687	0.081	-0.0674	-0.6704	-0.6669	-0.589	-0.0913	-0.2797	-0.4484	0.223	0.5123	-0.5728	-0.441	1
